#NAME X             Y             Z             SEFDR SEFDL FR_PAR_ANGLE FR_ELEV_ANGLE FR_OFFSET[d] DR_RE   DR_IM   DL_RE    DL_IM 
PV    5088967.9000 -301681.6000   3825015.8000  1400  1400  1            -1            0            0       0       0        0
SMT   -1828796.200 -5054406.800   3427865.200   5000  5000  1             1            0            0       0       0        0
SMA   -5464523.400 -2493147.080   2150611.750   4900  4900  1            -1            45           0       0       0        0 
LMT   -768713.9637 -5988541.7982  2063275.9472  600   600   1            -1            0            0       0       0        0 
ALMA  2225061.164  -5440057.37   -2481681.15    90    90    1             0            0            0       0       0        0 
SPT   0.01          0.01         -6359609.7     5000  5000  1             0            0            0       0       0        0 
APEX  2225039.53   -5441197.63   -2479303.36    3500  3500  1             1            0            0       0       0        0
JCMT  -5464584.68  -2493001.17    2150653.98    6000  6000  1             0            0            0       0       0        0
SMAR  -5464523.400 -2493147.08    2150611.75    29400 29400 1            -1            45           0       0       0        0 

